,CustomerID,Freq,SaleAmount,ElapsedDays,Freq_log,SaleAmount_log,ElapsedDays_log,ClusterLabel
0,12346,1,77183.6,336,0.6931471805599453,11.253955234248428,5.820082930352362,3
1,12347,182,4310.0,13,5.209486152841421,8.368925174747135,2.6390573296152584,0
2,12348,31,1797.24,86,3.4657359027997265,7.494563687769957,4.465908118654584,3
3,12349,73,1757.55,29,4.30406509320417,7.472244884833674,3.4011973816621555,0
4,12350,17,334.4,321,2.8903717578961645,5.815323849389109,5.7745515455444085,2
5,12352,85,2506.04,47,4.454347296253507,7.826858053356098,3.871201010907891,0
6,12353,4,89.0,215,1.6094379124341003,4.499809670330265,5.375278407684165,2
7,12354,58,1079.4,243,4.07753744390572,6.985086621918461,5.497168225293202,3
8,12355,13,459.4,225,2.6390573296152584,6.132095676847728,5.420534999272286,2
9,12356,59,2811.43,33,4.0943445622221,7.941804157314053,3.5263605246161616,0
10,12357,131,6207.67,44,4.882801922586371,8.733701981297274,3.8066624897703196,0
11,12358,19,1168.06,12,2.995732273553991,7.063955286074528,2.5649493574615367,1
12,12359,245,6310.03,68,5.5053315359323625,8.750054175177759,4.23410650459726,0
13,12360,129,2662.06,63,4.867534450455582,7.887231116540211,4.1588830833596715,0
14,12361,10,189.9,298,2.3978952727983707,5.251749730731702,5.700443573390687,2
15,12362,266,5226.23,14,5.58724865840025,8.56163678004062,2.70805020110221,0
16,12363,23,552.0,120,3.1780538303479458,6.315358001522335,4.795790545596741,3
17,12364,85,1313.1,18,4.454347296253507,7.180907299649593,2.9444389791664403,0
18,12365,22,641.38,302,3.1354942159291497,6.465180028897591,5.713732805509369,2
19,12367,11,168.9,15,2.4849066497880004,5.135210028677887,2.772588722239781,1
20,12370,166,3541.94,62,5.117993812416755,8.172712169921061,4.143134726391533,0
21,12371,63,1887.96,55,4.1588830833596715,7.543781692052325,4.02535169073515,3
22,12372,52,1298.04,82,3.970291913552122,7.169380809114136,4.418840607796598,3
23,12373,14,364.6,322,2.70805020110221,5.901539839579995,5.777652323222656,2
24,12374,33,742.9300000000001,36,3.5263605246161616,6.6119469443852195,3.6109179126442243,1
25,12375,17,457.5,21,2.8903717578961645,6.127960291696519,3.091042453358316,1
26,12377,77,1628.12,326,4.356708826689592,7.395795270713971,5.7899601708972535,3
27,12378,219,4008.62,140,5.393627546352362,8.29645175271804,4.948759890378168,3
28,12379,40,852.24,92,3.713572066704308,6.749040867823617,4.532599493153256,3
29,12380,104,2724.81,32,4.653960350157523,7.910520910634419,3.4965075614664802,0
30,12381,87,1845.31,15,4.477336814478207,7.520944331624911,2.772588722239781,0
31,12383,99,1850.56,195,4.605170185988092,7.523783805985769,5.278114659230517,3
32,12384,27,585.27,39,3.332204510175204,6.373780434317173,3.6888794541139363,1
33,12386,10,401.9,348,2.3978952727983707,5.998688392197302,5.855071922202427,2
34,12388,100,2780.66,26,4.61512051684126,7.930803150780256,3.295836866004329,0
35,12390,32,549.84,90,3.4965075614664802,6.311444385858925,4.51085950651685,3
36,12391,93,439.66,32,4.543294782270004,6.0882736030360425,3.4965075614664802,1
37,12393,64,1582.6000000000001,83,4.174387269895637,7.3674560152319755,4.430816798843313,3
38,12394,27,1272.48,74,3.332204510175204,7.149508589545504,4.31748811353631,3
39,12395,156,3018.63,30,5.056245805348308,8.012889586306857,3.4339872044851463,0
40,12397,126,2409.9,46,4.844187086458591,7.7877554007552545,3.8501476017100584,0
41,12398,85,1635.6599999999999,56,4.454347296253507,7.4004128587924045,4.04305126783455,3
42,12399,59,1108.65,130,4.0943445622221,7.011799929268738,4.875197323201151,3
43,12401,5,84.3,314,1.791759469228055,4.446174454497633,5.752572638825633,2
44,12402,11,225.6,334,2.4849066497880004,5.423186348593906,5.814130531825066,2
45,12403,5,427.7,60,1.791759469228055,6.0607573736039315,4.110873864173311,1
46,12405,54,1710.39,159,4.007333185232471,7.445061184797548,5.075173815233827,3
47,12406,105,3415.3,33,4.663439094112067,8.136313373066384,3.5263605246161616,0
48,12407,77,1708.1200000000001,60,4.356708826689592,7.4437338971514055,4.110873864173311,3
49,12408,105,2888.55,43,4.663439094112067,7.968856059639959,3.784189633918261,0
50,12409,109,11072.67,89,4.700480365792417,9.312325497408466,4.499809670330265,0
51,12410,26,693.3299999999999,319,3.295836866004329,6.542947351813216,5.768320995793772,2
52,12412,61,1226.88,85,4.127134385045092,7.1130443840624835,4.454347296253507,3
53,12413,38,758.1,77,3.6635616461296463,6.632133521022722,4.356708826689592,3
54,12414,18,562.41,228,2.9444389791664403,6.334007604663525,5.43372200355424,2
55,12415,714,124914.53,35,6.5722825426940075,11.735393027855736,3.58351893845611,0
56,12417,192,3649.1,14,5.262690188904886,8.202509843461513,2.70805020110221,0
57,12418,34,668.58,123,3.5553480614894135,6.506650650150935,4.820281565605037,3
58,12420,29,600.39,74,3.4011973816621555,6.3992436425478765,4.31748811353631,3
59,12421,45,807.04,26,3.828641396489095,6.694611562246261,3.295836866004329,1
60,12422,39,803.5600000000001,106,3.6888794541139363,6.690295544136225,4.672828834461906,3
61,12423,125,1859.31,11,4.836281906951478,7.528498419486568,2.4849066497880004,0
62,12424,30,1760.96,173,3.4339872044851463,7.474182104762846,5.159055299214529,3
63,12425,36,777.2,89,3.6109179126442243,6.6569835605504535,4.499809670330265,3
64,12426,30,582.73,205,3.4339872044851463,6.369438547154207,5.327876168789581,3
65,12427,31,825.8,32,3.4657359027997265,6.717562827807613,3.4965075614664802,1
